token,count
parkplatz,95
wanderung,86
spaziergang,56
hütte,55
hotel,39
aussichtspunkt,30
tal,27
trail,25
wanderweg,25
wanderparkplatz,24
berg,23
rundweg,23
restaurant,21
familienzimmer,21
gasthaus,20
wasserfall,18
picknick,17
wandernadel,17
klettern,16
waldweg,15
park,14
mirador,14
abstecher,14
aussichtsturm,14
camping,13
wandern,13
rastplatz,13
campingplatz,12
panorama,12
gipfel,12
schutzhütte,12
gaststätte,10
hinauf,10
steil,10
rundwanderung,10
jugendherberge,10
wanderer,10
picknickplatz,10
treppe,9
steilen,8
trails,8
seilbahn,8
oberhalb,7
rundwanderweg,7
strand,7
einkehrmöglichkeit,7
hang,7
biergarten,7
grillplatz,7
rast,7
rundtour,6
besuch,6
einkehr,6
fuß,6
kuhstall,6
rückweg,6
waldwegen,6
wildgehege,6
gasthof,6
stausee,6
rundblick,6
buchen,6
lilienstein,6
talstation,5
steg,5
wasserfälle,5
parkplätze,5
landschaftlich,5
fuße,5
klamm,5
wanderroute,5
mittagessen,5
höhenmeter,5
bergstation,5
steinmännchen,5
rodelbahn,5
terrasse,5
pension,5
klippe,5
bergan,5
klettersteig,5
fernblick,5
rundgang,4
panoramablick,4
lago,4
trittsicherheit,4
monte,4
ausblicken,4
wasserfällen,4
arbersee,4
wanderwege,4
mont,4
sportplatz,4
panoramaweg,4
schlucht,4
festhalle,4
infotafel,4
waldpfad,4
steile,4
anstiege,4
seeblick,4
alm,4
jagdhütte,4
sassnitz,4
goetheweg,4
teufelsschlucht,4
restaurants,3
parkplätzen,3
hinweistafel,3
steiler,3
wanderungen,3
cafe,3
rothaarsteig,3
aussichtsplattform,3
walderlebnispfad,3
höhenweg,3
wander,3
waldschänke,3
grill,3
touristen,3
informationstafel,3
wanderkarte,3
schanzenanlage,3
kurpark,3
forstweg,3
parque,3
berggasthaus,3
frühstück,3
zugspitze,3
schwindelfreiheit,3
spielplatz,3
gezeltet,3
teufelsberg,3
gelegene,3
treppen,3
kreideküste,3
begehbar,3
sitzbank,3
sonntagsspaziergang,3
köhlerhütte,3
forstwege,2
ruhetag,2
fuss,2
golfplatz,2
begehbaren,2
gorges,2
bademöglichkeiten,2
naturfreundehaus,2
bobbahn,2
gipfels,2
höhenmetern,2
wildsee,2
sattel,2
aussichtspunkte,2
schwimmbad,2
belchen,2
veranda,2
wasserspielplatz,2
königsstuhl,2
erwandern,2
verweilen,2
pool,2
besteigen,2
herberge,2
bike,2
waldlehrpfad,2
felsvorsprung,2
gehminuten,2
waldrand,2
kletterfelsen,2
mittagspause,2
herrlichem,2
grat,2
hügels,2
wettersteingebirge,2
weglos,2
ausflug,2
obersee,2
naturlehrpfad,2
gelegenen,2
grotte,2
playa,2
ausruhen,2
waldspaziergang,2
trampelpfad,2
asphaltierte,2
skihang,2
fernwanderweg,2
seebrücke,2
stiege,2
scenic,2
hochsaison,2
spazieren,2
schlafplatz,2
bootshaus,2
parkmöglichkeit,2
fernsicht,2
weinberge,2
schweizerhaus,2
canyon,2
flugfeld,2
wirtsstube,2
eiscafe,2
brotzeit,2
bistro,2
wegmarkierung,2
unterkunft,2
felsentor,2
prebischtor,2
himmelsleiter,2
holzpavillon,2
kabinenbahn,2
rondell,2
snack,1
pico,1
wandertag,1
wanderfreunde,1
mountainbikes,1
gondelbahn,1
promenade,1
touristenzentrum,1
höhenunterschiede,1
höhenunterschied,1
gassi,1
geschottert,1
schwimmbädern,1
skistadion,1
umrundung,1
parkmöglichkeiten,1
rangerstation,1
traumwetter,1
erholungsgebiet,1
weinfelder,1
kaisergarten,1
leckereien,1
geklettert,1
felssturz,1
freizeitzentrum,1
freizeitanlage,1
bootsfahrt,1
kletterpassagen,1
hinüber,1
gemütlich,1
geschotterten,1
tageswanderung,1
sitzgelegenheit,1
rastplätzen,1
grillstelle,1
bergbauernhof,1
passhöhe,1
gastraum,1
hostel,1
campen,1
erklimmen,1
bänken,1
grillhütte,1
tagungs,1
aparthotel,1
erkundungstour,1
schneeschuhen,1
urlaube,1
rastplätze,1
grillstellen,1
erkunden,1
campground,1
wanderführer,1
drachenflieger,1
hausberg,1
eisengeländer,1
sporthotel,1
familienhotel,1
skigebiet,1
bergsee,1
ausflugs,1
tourist,1
kanu,1
joggen,1
snackbar,1
fußballplatz,1
wanderhütte,1
landgasthof,1
mountainbiker,1
zelt,1
abstechern,1
austoben,1
burgschenke,1
tagesgäste,1
hausgäste,1
parador,1
skihütte,1
bikepark,1
downhill,1
hochebene,1
verpflegungsstand,1
aussichtspunkten,1
kriegsdenkmal,1
lawinengefahr,1
wintersaison,1
skibetrieb,1
schneeschuhe,1
malerischen,1
dusche,1
alpspitze,1
bucht,1
touristische,1
mountainbiken,1
geilo,1
reiterhof,1
hochkalter,1
promenadenweg,1
pizzeria,1
karwendel,1
scharnitz,1
gipfeln,1
herzogstand,1
alpe,1
parkbank,1
